index,area,city,region
0,ЧЕЧЕЛІВСЬКЕ ,ДНІПРОВСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
1,П'ЯТИХАТСЬКЕ ,ЖОВТОВОДСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
2,ПІВДЕННЕ ,КАМ`ЯНСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
3,ДНІПРОВСЬКЕ РАЙОННЕ ,ДНІПРОВСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
4,ДНІПРОВСЬКИЙ ,ДНІПРОПЕТРОВСЬКІЙ,ДНІПРОПЕТРОВСЬКІЙ
5,П'ЯТИХАТСЬКЕ ,ЖОВТОВОДСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
6,КРИВОРІЗЬКИЙ ,ДНІПРОПЕТРОВСЬКІЙ,ДНІПРОПЕТРОВСЬКІЙ
7,СОФІЇВСЬКЕ ,ЖОВТОВОДСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
8,СОБОРНЕ ,ДНІПРОВСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
9,КРИВОРІЗЬКИЙ ,ДНІПРОПЕТРОВСЬКІЙ,ДНІПРОПЕТРОВСЬКІЙ
10,САКСАГАНСЬКЕ ,КРИВОРІЗЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
11,СИНЕЛЬНИКІВСЬКИЙ ,ДНІПРОПЕТРОВСЬКІЙ,ДНІПРОПЕТРОВСЬКІЙ
12,ПОКРОВСЬКЕ ,СИНЕЛЬНИКІВСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
13,ДОВГИНЦІВСЬКЕ ,КРИВОРІЗЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
14,ІНДУСТРІАЛЬНЕ ,ДНІПРОВСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
15,ШЕВЧЕНКІВСЬКЕ ,ДНІПРОВСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
16,НОВОКОДАЦЬКЕ ,ДНІПРОВСЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
17,ДОВГИНЦІВСЬКЕ ,КРИВОРІЗЬКОГО,ДНІПРОПЕТРОВСЬКІЙ
18,ЧУДНІВСЬКЕ ,БЕРДИЧІВСЬКОГО,ЖИТОМИРСЬКІЙ
19,ФАСТІВСЬКЕ ,ВАСИЛЬКІВСЬКОГО,КИЇВСЬКІЙ
20,КРАМАТОРСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
21,КУЙБИШЕВСЬКИЙ,ДОНЕЦЬКОГО,ДОНЕЦЬКІЙ
22,БУДЬОНІВСЬКИЙ,ДОНЕЦЬКОГО,ДОНЕЦЬКІЙ
23,ДРУЖКІВСЬКЕ ,КРАМАТОРСЬКОГО ,ДОНЕЦЬКІЙ
24,БУДЬОНІВСЬКИЙ,ДОНЕЦЬКОГО,ДОНЕЦЬКІЙ
25,ПРОЛЕТАРСЬКИЙ,ДОНЕЦЬКОГО,ДОНЕЦЬКІЙ
26,СЛОВ’ЯНСЬКИЙ ,ДОНЕЦЬКІЙ,ДОНЕЦЬКІЙ
27,СОВЄТСЬКИЙ,МАКІЇВСЬКОГО,ДОНЕЦЬКІЙ
28,КІРОВСЬКИЙ,МАКІЇВСЬКОГО,ДОНЕЦЬКІЙ
29,ЧЕРВОНОГВАРДІЙСЬКИЙ,МАКІЇВСЬКОГО,ДОНЕЦЬКОЇ
30,ГІРНИЦЬКИЙ,МАКІЇВСЬКОГО,ДОНЕЦЬКІЙ
